"","0.5","1","3","10"
"0.99",2.78678484802406e-05,2.92141317625023e-05,3.05513070080477e-05,3.19974640686729e-05
"0.9999",2.41071187733106e-05,2.35498389442463e-05,2.24109207380544e-05,2.16510517948517e-05
"0.999999",2.54272996330811e-05,2.49153265136987e-05,2.38558537022837e-05,2.30948675970175e-05
